1	1
2	4
3	0
4	0
5	24
6	2
7	13
8	26
9	12
10	40
11	24
12	14
13	5
14	30
15	12
16	7
17	5
18	4
19	3
20	1
21	0
22	0
23	24
24	8
25	0
26	2
27	0
28	1
29	1
30	0
31	3
32	0
33	0
34	4
35	1
36	2
37	2
38	0
39	0
40	0
41	0
42	3
43	1
44	0
45	2
46	0
47	5
48	4
49	1
50	3
51	0
52	2
53	1
54	5
55	2
56	1
57	3
58	2
59	1
60	4
61	4
62	3
63	2
64	2
65	1
66	2
67	1
68	0
69	1
70	2
71	0
72	3
73	2
74	2
75	0
76	0
77	2
78	0
79	0
80	3
81	1
82	0
83	0
84	0
85	0
86	0
87	0
88	1
89	1
90	0
91	2
92	0
93	7
94	3
95	4
96	0
97	1
98	0
99	2
100	1
